num,variance
1,0.7396160557644251
2,0.13181858869034563
3,0.06840633297399802
4,0.021400994932455095
5,0.0068346264740809385
6,0.005260632005000302
7,0.0029074161858865617
8,0.0023392036368408645
9,0.0020365452785663374
10,0.0019098772182965698
11,0.001625844309665993
12,0.0014201090241628821
13,0.0012436223422854285
14,0.0010727699655931286
15,0.0009294735536111881
16,0.0009133223286336919
17,0.0008818187535192303
18,0.0007860249667073565
19,0.0007435348193957744
20,0.0006490110686189885
21,0.0006422876340175885
22,0.0006133442544654124
23,0.0005608637070435096
24,0.0005473709661776268
25,0.0005068735655678375
26,0.0004934080719124327
27,0.0004607403933025528
28,0.0004429180224858696
29,0.0004228244372848148
30,0.00041738043025666734
31,0.00038257000824769066
32,0.00037420263013253455
33,0.00036247972814058664
34,0.0003425933285152879
35,0.00033037232248730336
36,0.0003039662078732219
37,1.4586354781657969e-31
